epoch,accuracy,precision,recall,f1
1.0,0.7594874322326269,0.8092999489013797,0.6933718588564924,0.7468640950674338
2.0,0.8519198888839106,0.8657173756308579,0.8410822169687417,0.8532220100368609
3.0,0.8785339844975133,0.8857395925597874,0.8755800717975659,0.8806305314605256
4.0,0.8988753976432636,0.8945918015845676,0.9095525785833114,0.902010159336604
5.0,0.9031766656212196,0.9202977487291213,0.8876630767883723,0.903685876008379
6.0,0.9143778843138134,0.916520672740014,0.9161194291217932,0.9163200070061742
7.0,0.9171109816748062,0.9130059549495124,0.9262761579546449,0.9195931849791377
8.0,0.9202921277835029,0.9213424226533823,0.9230365116889939,0.9221886891484058
9.0,0.9210090057798288,0.9306224362404137,0.9137553629279398,0.9221117738016348
10.0,0.9223083471481697,0.9288180610889775,0.9185710533228264,0.9236661384046488
10.0,0.9202921277835029,0.9213424226533823,0.9230365116889939,0.9221886891484058
